,AP 1,AP 2,AP 3,AP 4
534,189.5355178448426,189.58055704255207,189.7035993615773,189.7818113894191
535,183.50798969047744,183.48558409612804,183.6231996718268,183.67812452330327
536,180.6383991658199,180.81499887716325,180.80350465269453,180.95667730547575
537,183.39884984187748,183.58442842490206,183.74215716079016,183.77234219977208
538,184.25622274260067,184.25373906184643,184.3929415437035,184.4442305524649
539,183.1984529605891,183.2981208016887,183.3043761543588,183.33520103289584
540,180.64901021746277,180.75464562344519,180.72341906498673,180.79950238653146
541,192.362552250488,192.54453101643026,192.50859808542737,192.6499254635878
542,186.0305665763893,185.96125281116883,185.99171740537167,185.94913429188455
543,186.2570386757009,186.47621063748284,186.46339200297393,186.65466462167387
544,180.3358586567247,180.36978461628485,180.44124193638413,180.57622710730175
545,180.22321466196945,180.39887797265317,180.4733949105564,180.4881769250219
546,186.39192816601695,186.52059040995937,186.52804725641636,186.59891152239197
547,181.252177988919,181.11758752658795,181.19811102314793,181.41679557036878
548,186.66401869998094,186.7753175151646,186.84174379692308,186.71036567024248
549,188.06573752831773,188.15866386210325,188.17139603924466,188.27251697347765
550,190.778921041151,190.80112358459405,190.91966628489286,190.94869231092935
551,180.84228701974737,180.9212600929519,180.92418723174796,181.13542171903646
552,181.1431088758614,181.09513575105984,181.1758233429914,181.08341380770798
553,180.51247813334544,180.69894657829582,180.6746945249913,180.62193041165892
554,183.66813068529245,183.78244404703423,183.83675061054396,183.84091734533513
555,185.63031791950624,185.76676081850906,185.82090170068363,185.84130095570754
556,183.11572172669452,183.10266541558644,183.15720614499287,183.09549990716505
557,182.85460971878135,182.83847460626623,182.91017768412598,182.9248994213799
558,182.16790002670177,182.31919003920086,182.4451975652869,182.57000654810963
559,187.96179154839095,188.05051014794105,188.3010642317363,188.29878842269545
560,184.95259945638787,184.9840500012201,184.92248980076647,185.12214804597488
561,180.60548826549262,180.69593472448162,180.61890121534339,180.68740742592126
562,189.44653578307035,189.75099296848884,189.95184432766087,189.84547129467683
563,185.77451879276552,185.78169595263466,185.73732250394005,185.82480975040107
564,190.12171358170397,189.99274846509854,190.24093034442058,190.27008659620242
565,187.4094701832505,187.45969676259745,187.4805378801409,187.50589965898052
566,186.28705697389216,186.23695937664525,186.4850456678862,186.34918554675824
567,187.28589415975912,187.24846548030223,187.34404313660116,187.39151413905347
568,187.7019001166315,187.7401907393828,187.89798798352103,187.93994521851073
569,191.72031573604391,191.94908185775364,191.96231737741232,192.2217857654523
570,182.7803756292252,182.89011944480592,183.11183386866628,182.90095927701987
571,185.18256758133225,185.17751311656366,185.28345484391912,185.30222971655076
572,193.71046947948716,193.79481659149883,193.88379425265612,193.80710404996535
573,181.34211538929904,181.33392202286836,181.44847093222825,181.36536054893122
574,180.783915038691,180.86043505238752,180.867852129295,181.0602899931364
575,182.3245572570448,182.36331087252836,182.36935495160787,182.4592961789749
576,187.48266014774967,187.5311058116739,187.6962643257275,187.72658082540784
577,181.55983342941292,181.648979877736,181.5294227669542,181.86195953872948
